"sentence_id","label","sentence","detoxified","explanation","has_code_switching","code_switched_language"
"1","toxic","Listen here, bruh, I don’t wanna hear another word of your nonsense, so por favor keep your drama to yourself, ya feel me?","I’m feeling overwhelmed by this conversation. Let’s pause and pick it up when we’re calmer.","Uses dialect (“bruh,” “ya feel me?”) plus Spanish (“por favor”), telling the other person to remain quiet.","yes","Spanish"
"2","toxic","Man, y’all better get your act together, ’cause nobody round here is buyin’ your sorry excuses, capisce?","I think there’s a misunderstanding. Let’s clarify the situation in a more respectful way.","Uses informal dialect (“y’all”) and code-switches to Italian (“capisce?”) at the end.","yes","Italian"
"3","toxic","I’m sick of you runnin’ your mouth like you own the place, but you ain’t got a clue what’s up, compadre.","I’m concerned we’re not on the same page. Let’s discuss the issue calmly when possible.","Condescending slang (“runnin’ your mouth,” “ain’t got a clue”) plus Spanish code-switch (“compadre”).","yes","Spanish"
"4","toxic","Yo, I swear if you keep that smug attitude, I might lose it and teach you a lesson you won’t forget.","I feel upset by the tone of this conversation. Maybe we can talk after a short break.","Includes a veiled threat (“teach you a lesson”) without explicit code-switching.","no","none"
"5","toxic","Look, homes, your so-called “expert opinion” ain’t worth squat, so mejor cállate y vete por ahí.","Perhaps we should consider different perspectives. Let’s remain open to new ideas without insults.","Sarcastic dismissal and Spanish code-switch (“mejor cállate y vete por ahí”).","yes","Spanish"
"6","toxic","I’m done pretendin’ you’ve got a single brain cell to rub together—s’like talkin’ to a brick wall here.","I think we need a more constructive dialogue. Let’s take a break and revisit the topic.","Insults intelligence (“single brain cell”) in an informal dialect. No code-switching present.","no","none"
"7","toxic","Why don’t you do everyone a favor and disappear, parce que nobody wants your drama here anyway?","I believe you’re frustrated, but telling someone to leave isn’t helpful. Let’s find common ground.","Threatening tone telling someone to go away, plus French code-switch (“parce que”).","yes","French"
"8","toxic","Dawg, you keep actin’ all big and bad, but let me tell you, ain’t nobody tremblin’ in their boots.","I see you’re trying to assert yourself. Maybe we can share concerns in a more polite way.","Mocking the other person’s supposed toughness. No code-switching included.","no","none"
"58","non-toxic","NA","I’d prefer a different approach, but I’m open to hearing your suggestions before we decide.","Suggests disagreement without being rude or demeaning.","no","none"
"59","non-toxic","NA","You’ve made some interesting points, though I believe we can refine the argument further for clarity.","Compliments part of the other person’s work and suggests improvements politely.","no","none"
"9","toxic","Real talk, I’m gonna snap if you keep runnin’ that mouth, so just shut it before things get ugly.","I feel my patience running thin. Let’s step back and continue this discussion later.","Threatening language (“I’m gonna snap”) with no code-switching used.","no","none"
"10","toxic","Look, I don’t give a damn about your excuses; you’re straight up wasting my time, hermano.","I’m not convinced by your reasons, but we can still talk and reach a mutual understanding.","Insulting dismissiveness and Spanish code-switch (“hermano”).","yes","Spanish"
"11","toxic","Boy, you talkin’ nonsense half the time, and the other half you’re just blowin’ hot air, so kindly hush.","I think we have a communication gap. Could we clarify the points without negativity?","Dismissive slang (“blowin’ hot air”) instructing the other to be silent. No code-switching.","no","none"
"12","toxic","All that bragging you do is straight garbage, mon ami, so why not spare us the headache?","We could focus on the facts instead of self-praise. Let’s keep things objective.","Uses French code-switch (“mon ami”) and labels the other person’s talk as “straight garbage.”","yes","French"
"13","toxic","Fam, I’ve had enough of your pitiful sob story—nobody’s buyin’ it, so get real or get lost.","I understand you might be upset, but maybe we can find a more productive way to resolve this.","Insulting dismissal of someone’s story. No code-switching present.","no","none"
"14","toxic","You keep flexing like you’re some top dog, but news flash: you’re barely relevant around here, señor.","I think there’s a misunderstanding of roles. Let’s calmly clarify everyone’s responsibilities.","Belittles the person’s importance and code-switches to Spanish (“señor”).","yes","Spanish"
"15","toxic","Dude, you can’t even handle basic stuff, yet you actin’ like you’re El Jefe—give me a break.","Could we calmly identify what tasks are challenging for you? Let’s find a solution together.","Sarcastic tone and Spanish code-switch (“El Jefe”).","yes","Spanish"
"16","toxic","If you don’t stop spoutin’ off at the mouth, I’m gonna have to put you in your place, plain and simple.","I’m feeling irritated, but let’s discuss this in a more constructive manner.","Threatening comment about putting someone “in their place.” No code-switching.","no","none"
"17","toxic","You run your mouth so much, I bet even the walls are tired of your babble, amico.","I think it’s better to hear each other out in a calmer environment rather than hurl insults.","Insults the person’s talkativeness, with Italian code-switch (“amico”).","yes","Italian"
"18","toxic","Boy, you better step off before I lose my cool and show you exactly what I’m capable of.","I can see tensions are high. Let’s try to prevent this from escalating further.","Threat implied with no code-switching involved.","no","none"
"19","toxic","I’m so tired of your BS, mano. You keep messing around, but you never fix a damn thing.","Maybe we can figure out how to resolve these issues. Let’s stay solution-focused.","Curses with “BS” and code-switches Spanish slang “mano.”","yes","Spanish"
"20","toxic","Y’all are trippin’ if you think I’m gonna waste another minute on that whack idea—adiós.","I’m not convinced your idea aligns with my goals, but I’m willing to talk more about it later.","Informal dialect with code-switch “adiós.”","yes","Spanish"
"21","toxic","I’d smack that smug look off your face if I didn’t value my time more than dealin’ with you.","I’m extremely upset, but resorting to threats won’t help. Let’s approach this differently.","Insult plus physical threat, with no code-switching present.","no","none"
"22","toxic","Oye, you might wanna keep your lame opinions to yourself, because nadie here cares about ’em.","I don’t think we should dismiss anyone’s ideas outright. Let’s discuss them calmly.","Code-switching to Spanish (“Oye,” “nadie”) and disrespectful language (“lame opinions”).","yes","Spanish"
"23","toxic","Quit frontin’ like you’re some genius—news flash, people are laughing at you, amigo.","I believe there could be a misunderstanding of your expertise. Let’s clarify politely.","Sarcastic put-down plus Spanish code-switch (“amigo”).","yes","Spanish"
"24","toxic","Keep runnin’ that mouth, and we’ll see how far it gets you, 'cause I ain’t playin’ anymore.","I think we need a moment to cool off. Let’s discuss this later in a neutral setting.","Threatening tone, no explicit code-switching.","no","none"
"25","toxic","Yo, your entire argument is trash, and I hope you realize how ridiculous you sound, carnal.","I think there’s some valid points on both sides, but we should remain respectful in our dialogue.","Insulting “trash” argument plus Spanish slang code-switch (“carnal”).","yes","Spanish"
"26","toxic","I’m done listening to your sorry excuses. You’re just tryna save face, but guess what? It ain’t workin’, bro.","It seems we have a conflict. Let’s try to identify the core issues without personal attacks.","Disrespectful tone, “sorry excuses,” calling them “bro.” No code-switching.","no","none"
"27","toxic","Who do you think you are, stepping in here like some jefe grande when you clearly can’t handle basic tasks?","I feel there’s an overestimation of capabilities. Let’s talk about roles more calmly.","Mixed slang plus Spanish code-switch (“jefe grande”).","yes","Spanish"
"28","toxic","If you had two brain cells to rub together, you’d realize how stupid that plan sounds, mais non, you just don’t get it.","I’m not sure your idea is practical, but we can explore it more respectfully.","Insults intelligence plus French code-switch (“mais non”).","yes","French"
"29","toxic","Get outta my face with that nonsense, because nobody’s buyin’ what you’re sellin’, pendejo.","I see you’re upset, but let’s not resort to name-calling or dismissive language.","Extremely insulting term “pendejo” (Spanish).","yes","Spanish"
"30","toxic","Don’t act like you care about my issues, ’cause you’ve been ghosting me whenever I actually need help.","I’m upset by the lack of support, but maybe we can figure out a schedule for assistance.","Accuses the other person of faking concern. No code-switching.","no","none"
"31","toxic","That’s the stupidest thing I’ve heard all week, and trust me, I’ve heard some real dumb stuff, hermano.","Maybe we can find some logic in your idea if we examine it carefully. Let’s keep it respectful.","Calls the idea “stupid,” plus Spanish code-switch (“hermano”).","yes","Spanish"
"32","toxic","All this talk, and you still ain’t produced a single shred of proof. Kinda fishy, no?","I’d appreciate seeing some evidence. Let’s approach it from a fact-based perspective.","Sarcastic challenge calling it “fishy,” but no code-switching present.","no","none"
"33","toxic","Mira, I don’t have time for your half-baked schemes, so kindly step aside and let the adults handle this.","I think we can collaborate better if we respect each other’s contributions and concerns.","Spanish code-switch (“Mira”) plus condescending tone calling the other’s ideas “half-baked.”","yes","Spanish"
"34","toxic","Swear to God, if you keep poking your nose in my business, I’ll put you on blast so everyone sees your true colors.","I feel my privacy is being invaded. Let’s establish some boundaries instead of making threats.","Threatens public humiliation. No code-switching used.","no","none"
"35","toxic","You best watch that attitude, ’cause I can play dirty too, mon frère, and you don’t want that smoke.","This conflict is escalating. Let’s address our concerns constructively rather than threatening.","Includes a threat and French code-switch (“mon frère”).","yes","French"
"36","toxic","It’s hilarious how you front like a boss, but in reality, tu es un amateur complet—go figure.","I think you might be more capable than it seems, but maybe we need a more respectful tone to discuss it.","Insults combined with French code-switch (“tu es un amateur complet”).","yes","French"
"37","toxic","Stop blowin’ hot air, man. You ain’t done nothin’ worth bragging about since day one.","Perhaps we can highlight any real accomplishments in a calmer manner.","Dismissive slang with no code-switching.","no","none"
"52","non-toxic","NA","I was hoping for a clearer plan, but I’m glad we’ve at least started the discussion.","Shares dissatisfaction without insults or hostility; focuses on progress.","no","none"
"53","non-toxic","NA","Hey amigo, could you send me the revised draft when you get a chance? I’d like to stay updated.","Politely requests information; no negative or aggressive language used.","yes","Spanish"
"54","non-toxic","NA","I think there might be a misunderstanding, but I’m willing to talk it out whenever you’re ready.","Indicates potential conflict but remains calm and open to dialogue.","no","none"
"55","non-toxic","NA","I’m not fully satisfied with the outcome, aunque reconozco que hiciste tu mejor esfuerzo.","Conveys displeasure without insulting; code-switch in Spanish acknowledges the other’s effort.","yes","Spanish"
"38","toxic","Honest truth: your feedback sucks, and if this is all you got, pues we’re done here.","I believe we can refine suggestions without attacking each other. Let’s try a different approach.","Combines “sucks” with Spanish code-switch (“pues”).","yes","Spanish"
"39","toxic","One more word outta you, and I’m blockin’ you, hombre, ’cause you’re gettin’ on my last nerve.","I’m overwhelmed by our conversation. Let’s take a step back to avoid conflict.","Includes code-switch to Spanish (“hombre”) and a threat to block the person.","yes","Spanish"
"40","toxic","That big talk of yours is empty, ’cause every time you try to prove yourself, you flop miserably—deal with it.","I think you might be overestimating your performance. Let’s stay factual in our critique.","Calls their talk “empty” and performance a “flop,” with no code-switching.","no","none"
"41","toxic","Aye, chico, don’t be droppin’ names like you run this block, 'cause you don’t run nothin’ but your mouth.","Could we discuss who’s really in charge in a calm manner, without insulting each other?","Spanish code-switch (“chico”) and an aggressive, territorial tone.","yes","Spanish"
"42","toxic","You’re so clueless that even if I spelled it out for you, you’d still mess it up, mon gars.","Maybe we need to break this down step by step in a respectful way.","Insults intelligence plus French slang code-switch (“mon gars”).","yes","French"
"43","toxic","Keep talkin’ and I might just make sure you never show your face around here again, bro.","I’m uncomfortable with threats. Let’s handle disagreements more tactfully.","Threatens retaliation with no code-switching used.","no","none"
"44","toxic","Dawg, you think you’re slick, but we all see through that cheap hustle—seriously, c’est ridicule.","Maybe we can discuss any concerns about your method if we remain objective and polite.","Mix of slang plus French code-switch (“c’est ridicule”).","yes","French"
"45","toxic","I’ve had enough of your moanin’ and groanin’, so either fix it or get outta my way, hermana.","Could we collaborate on a solution rather than ignoring each other’s frustrations?","Dismissive complaint plus Spanish code-switch (“hermana”).","yes","Spanish"
"46","toxic","Look, compa, you can’t keep riding on everyone else’s coattails, then act like you did all the work.","I think we should acknowledge everyone’s contributions. Let’s give proper credit respectfully.","Spanish code-switch (“compa”) and accusation of laziness or appropriation.","yes","Spanish"
"47","toxic","Dude, you’re so far up your own hype that reality ain’t even in your vocabulary anymore.","I think there’s a mismatch between confidence and actual performance. Let’s talk realistically.","Insults the other’s sense of reality without code-switching.","no","none"
"48","toxic","If I hear one more bit of your so-called expert advice, I’m gonna lose it, parce que tu dis n’importe quoi.","Let’s end this conversation here and return later with a cooler head.","French code-switch (“parce que tu dis n’importe quoi”) implying nonsense talk.","yes","French"
"49","toxic","I don’t care who you know or what you claim, ’cause none of it matters when your skill set is basura, friend.","I’d like to focus on tangible results and improvements, rather than insulting each other.","Combination of English plus Spanish code-switch (“basura”).","yes","Spanish"
"50","toxic","You straight up messed everything and still have the nerve to act like you’re untouchable—give me a break, bro.","Let’s be honest about the mistakes and see if we can solve them without throwing blame around.","Sarcastic, mocking the other’s arrogance, with no code-switching used.","no","none"
"51","non-toxic","NA","I’m slightly disappointed about the delay, pero I appreciate the update and hope we can speed up next time.","It expresses mild frustration but doesn’t resort to insults or threats; includes a friendly tone overall.","yes","Spanish"
"56","non-toxic","NA","We haven’t reached our goal yet, but I appreciate everyone’s contributions so far.","Expresses that the objective is unmet but remains courteous and constructive.","no","none"
"57","non-toxic","NA","Could we go over the details one more time, por favor? I want to make sure we’re on the same page.","Requests clarification politely; code-switch to Spanish for courtesy, no insult or threat.","yes","Spanish"
"60","non-toxic","NA","Thanks for double-checking those numbers, mon ami; it really helps avoid mistakes.","Uses a friendly French phrase (“mon ami”) while maintaining a positive tone.","yes","French"
